Ciclo,Aptitud: Peor,Aptitud: Promedio,Aptitud:Mejor,Aptitud:Padre 1,Aptitud: Padre 2,Diversidad
0,63,54.24,44,52,53,0.9577520000000024
1,70,58.13,48,55,54,0.8874600000000062
2,70,61.37,54,58,56,0.7729960000000141
3,70,64.88,57,69,66,0.5544720000000087
4,74,67.21,61,66,64,0.4191640000000009
5,74,68.98,65,70,70,0.27192799999999945
6,74,70.1,67,70,70,0.19343999999999753
7,74,70.83,68,70,71,0.18643599999999755
8,76,71.98,69,74,71,0.21867199999999953
9,76,73.19,70,74,73,0.21449199999999977
10,77,74.35,70,74,74,0.159308000000001
11,78,75.27,72,75,76,0.1494919999999998
12,78,76.16,74,77,76,0.11613600000000045
13,78,76.7,75,78,77,0.0955600000000003
14,79,77.23,76,77,77,0.0811239999999999
15,79,77.76,76,78,78,0.08284800000000088
16,80,78.16,76,78,78,0.07456000000000129
17,80,78.49,77,78,78,0.07758800000000121
18,80,78.94,77,78,80,0.07888000000000163
19,80,79.28,78,79,79,0.07640800000000106
20,81,79.71,78,79,79,0.07367600000000109
21,81,80.04,79,80,80,0.07444800000000112
22,82,80.17,79,80,80,0.07720400000000101
23,82,80.55,79,80,81,0.07840400000000078
24,82,81.04,79,80,80,0.07639200000000163
25,83,81.56,80,82,82,0.06352800000000121
26,83,82.05,80,82,82,0.054148000000000994
27,84,82.47,81,82,83,0.04187600000000128
28,84,82.98,81,83,83,0.028368000000000268
29,84,83.27,82,83,84,0.024636000000000137
30,85,83.74,83,83,84,0.033480000000000565
31,85,84.01,83,84,84,0.036228000000000496
32,86,84.31,82,85,84,0.04484400000000075
33,86,84.79,83,85,85,0.046060000000000635
34,86,85.26,84,85,85,0.04963200000000109
35,87,85.71,84,86,85,0.05752400000000132
36,87,86.03,84,86,86,0.05767600000000107
37,87,86.34,85,86,86,0.05998400000000093
38,88,86.64,84,87,86,0.0576880000000009
39,89,87.11,85,87,87,0.05143600000000099
40,89,87.54,86,88,87,0.05300800000000108
41,90,88.02,87,88,88,0.05696000000000156
42,90,88.52,87,88,89,0.0424480000000012
43,90,88.91,87,89,89,0.02917200000000081
44,90,89.26,87,89,89,0.02447200000000035
45,90,89.65,88,90,90,0.01422000000000034
46,91,89.92,89,90,90,0.006239999999999894
47,91,89.99,89,90,90,0.0065479999999999055
48,91,90.05,89,90,90,0.010244000000000194
49,92,90.25,89,90,90,0.017956000000000197
50,92,90.61,89,91,91,0.01718800000000028
51,92,91.01,89,92,91,0.015916000000000197
52,92,91.35,90,91,92,0.015388000000000323
53,92,91.74,90,92,91,0.008920000000000159
54,92,91.95,91,92,92,0.001979999999999976
55,93,91.96,91,92,92,0.003159999999999951
56,93,91.97,91,92,92,0.0019799999999999757
57,93,91.99,91,93,92,0.004275999999999929
58,94,92.09,91,92,92,0.008940000000000146
59,94,92.34,91,92,92,0.013144000000000431
60,95,92.76,91,93,92,0.013856000000000333
61,94,93.13,91,94,93,0.011308000000000403
62,95,93.4,91,93,93,0.021959999999999955
63,95,93.82,92,94,94,0.022912000000000522
64,95,94.03,93,94,94,0.023876000000000754
65,95,94.15,93,94,94,0.023188000000000476
66,95,94.42,93,94,95,0.017368000000000133
67,96,94.8,93,95,95,0.008376000000000071
68,96,95,94,95,95,0.0038799999999999365
69,96,95.09,93,95,95,0.00881200000000013
70,97,95.28,94,96,95,0.012120000000000415
71,97,95.6,93,96,96,0.015008000000000524
72,97,96.07,95,96,96,0.0102280000000003
73,97,96.32,95,96,97,0.014008000000000513
74,98,96.74,95,96,97,0.023784000000000246
75,99,97.19,96,98,97,0.031260000000000766
76,99,97.67,96,98,97,0.029484000000000583
77,99,98.12,96,98,98,0.024296000000000283
78,99,98.67,97,99,99,0.011676000000000472
79,99,98.87,96,99,99,0.005147999999999927
80,99,98.95,98,99,99,0.0019799999999999757
81,99,98.98,98,99,99,7.920000000000006E-4
82,99,98.95,98,99,99,0.0019799999999999757
83,99,98.94,98,99,99,0.002375999999999968
84,99,99,99,99,99,0
85,99,98.92,98,99,99,0.003167999999999952
86,99,98.93,98,99,99,0.00277199999999996
87,99,98.93,98,99,99,0.00277199999999996
88,99,98.95,98,99,99,0.0019799999999999757
89,99,98.98,98,99,99,7.920000000000006E-4
90,99,98.94,98,99,99,0.002367999999999968
91,100,98.99,98,99,99,0.0011879999999999922
