Ciclo,Aptitud: Peor,Aptitud: Promedio,Aptitud:Mejor,Aptitud:Padre 1,Aptitud: Padre 2,Diversidad
0,2,0.08,0,0,0,0.001538461538461539
1,2,0.48,0,0,0,0.007948717948717954
2,4,1.44,0,2,2,0.017948717948717913
3,4,2.08,2,2,2,0.019743589743589734
4,4,2.32,2,2,2,0.013076923076923083
5,4,3.2,0,2,4,0.011666666666666676
6,6,4.16,4,4,4,0.0030769230769230787
7,6,4.4,4,6,4,0.006923076923076928
8,6,4.96,4,4,4,0.01141025641025642
9,10,6,4,6,6,0.011410256410256418
10,10,7.52,6,10,6,0.02307692307692309
11,12,9.44,6,10,10,0.017051282051282028
12,12,10.24,10,10,10,0.004230769230769233
13,12,10.88,10,10,10,0.013333333333333336
14,14,11.6,10,10,12,0.01705128205128201
15,14,12.48,10,12,12,0.0225641025641025
16,16,13.28,10,12,12,0.021666666666666588
17,16,14.4,12,14,12,0.031025641025640923
18,18,15.6,12,16,16,0.030384615384615232
19,20,16.72,14,18,16,0.033846153846153776
20,22,17.92,16,16,20,0.03666666666666655
21,22,19.52,16,18,20,0.03987179487179475
22,24,20.96,18,22,20,0.0442307692307691
23,26,22.16,20,22,22,0.03653846153846142
24,26,23.44,22,22,24,0.03384615384615371
25,26,25.04,24,26,26,0.03410256410256402
26,26,25.68,24,26,26,0.031538461538461515
27,28,26.16,24,26,26,0.0379487179487179
28,30,26.64,24,28,26,0.048333333333333235
29,30,27.28,24,28,26,0.04871794871794868
30,30,28.24,26,28,28,0.05179487179487167
31,32,29.12,28,30,30,0.0564102564102563
32,34,29.92,26,32,30,0.06564102564102542
33,34,31.28,26,32,28,0.06371794871794852
34,36,32.8,30,34,34,0.053846153846153724
35,38,34.16,32,34,34,0.050384615384615174
36,40,35.6,34,34,38,0.05410256410256396
37,40,36.8,34,38,36,0.049871794871794724
38,40,38.48,36,38,40,0.056794871794871624
39,42,39.68,38,38,40,0.04782051282051268
40,44,40.72,38,40,40,0.04076923076923061
41,46,42.24,40,42,42,0.03602564102564091
42,46,43.68,42,46,44,0.02833333333333325
43,46,44.72,42,44,44,0.01820512820512815
44,46,45.52,44,46,46,0.013205128205128208
45,48,46,44,46,46,0.0030769230769230787
